,product_id,title,link,onlineRegular,onlineDiscount,prices_shop,brand
157,221905,"Кофе в капсулах Carraro Decerato для кофемашин Nespresso 10шт, 55г",/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-decerato,439,389,"[(369, 'от 1 шт')]","('CARRARO',)"
158,227974,"Кофе Fresco Arabica solo молотый для чашек и турок, 250г",/products/kofe-fresco-arabica-solo-molotyy-dlya-chashek-i-turok-250g,329,299,"[(279, 'от 1 шт')]","('FRESCO',)"
159,119132,"Кофе Жокей Ирландские сливки молотый, 150г",/products/150g-zhokej-irlandskie-slivki-mol,359,349,"[(349, 'от 1 шт')]","('ЖОКЕЙ',)"
160,228235,"Кофе Jardin Gold растворимый, 190г",/products/190g-kofe-jardin-gold-rastvorimyy-stb,699,449,"[(449, 'от 1 шт')]","('JARDIN',)"
161,384608,"Кофе Julius Meinl Юбилейный в зернах, 500г",/products/julius-meinl-v-zernah-naturalnyj-zharenyj-jubileum-500g,799,0,"[(749, 'от 1 шт')]","('JULIUSMEINL',)"
162,228231,"Кофе Piazza del Caffe Crema Vellutata в зернах, 1кг",/products/1kg-kofe-piazza-del-caffe-crema-vellutata-zerno,1239,999,"[(999, 'от 1 шт')]","('PIAZZADELCAFFE',)"
163,459849,"Кофе Jardin Colombia Medelin растворимый сублимированный, 150г",/products/jardin-sublimirovannyj-colombia-medelin-150g,549,0,"[(499, 'от 1 шт')]","('JARDIN',)"
164,241736,"Кофе Coffesso Allure зерновой, 1кг",/products/1kg-kofe-coffesso-allure-zerno,1429,1199,"[(1149, 'от 1 шт')]","('COFFESSO',)"
165,218711,"Кофе Poetti Leggenda Original в зернах, 250г",/products/250g-kofe-poetti-leggenda-original-v-zernah,429,399,"[(379, 'от 1 шт')]","('POETTI',)"
166,228778,"Кофе Fresco Horeca arabica в зернах, 1кг",/products/1kg-kofe-fresco-horeca-arabica-zerno,1419,1099,"[(1099, 'от 1 шт')]","('FRESCO',)"
167,590985,"Кофе Egoiste Very Special растворимый сублимированный, 100г",/products/egoiste-sublimirovannyj-very-special-100g,899,749,"[(749, 'от 1 шт')]","('EGOISTE',)"
168,456926,"Кофе Dallmayr Crema d'Oro натуральный жареный в зернах, 1кг",/products/dallmayr-v-zernah-naturalnyj-zharenyj-crema-d-039oro-1kg,2299,2199,"[(2199, 'от 1 шт')]","('DALLMAYR',)"
169,208702,"Кофе Lavazza Expert Crema-Aroma в зернах, 1кг",/products/1kg-kofe-lavazza-expert-cremaaroma-v-zernah,2299,0,"[(2099, 'от 1 шт')]","('LAVAZZA',)"
170,246069,"Кофе Alta Roma Rwanda зерновой, 1кг",/products/1kg-kofe-alta-roma-rwanda-zernovoy,2349,2199,"[(1999, 'от 1 шт'), (1849, 'от 6 шт')]","('ALTAROMA',)"
171,220012,"Кофе Julius Meinl Espresso Deluxe в зернах, 1кг",/products/1kg-kofe-julius-meinl-espresso-deluxe-zerno,2379,1999,"[(1999, 'от 1 шт')]","('JULIUSMEINL',)"
172,637205,"Кофе в капсулах L’or Espresso Splendente для кофемашин Nespresso 10шт, 52г",/products/lor-espresso-52-g,399,379,"[(349, 'от 1 шт')]","(""L'OR"",)"
173,32458,"Кофе Lavazza Qualita Rossa молотый, 250г",/products/lavazza-rossa-250g,549,0,"[(549, 'от 1 шт')]","('LAVAZZA',)"
174,241838,"Кофе в капсулах Tassimo L'or Intense XL для кофемашин Tassimo 16шт, 136г",/products/16shth85g-kofe-tassimo-lor-xl-intense-kapsuly,769,599,"[(549, 'от 1 шт')]","('TASSIMO',)"
175,32457,"Кофе Lavazza Espresso Italiano Classico молотый, 250г",/products/lavazza-naturalnyj-zharenyj-espresso-250g,729,679,"[(649, 'от 1 шт')]","('LAVAZZA',)"
176,230024,"Кофе Illy без кофеина в зернах, 250г",/products/kofe-illy-bez-kofeina-zernovoy-250g,1369,1149,"[(1099, 'от 1 шт')]","('ILLY',)"
177,228421,"Кофе Verle Decaf в дрип-пакетах 6шт, 66г",/products/6shth11g-kofe-verle-decaf-v-drip-paketah,429,0,"[(429, 'от 1 шт')]","('VERLE',)"
